등급,어휘,품사,日本語品詞,어종,원어,日本の漢字,外来語,의미,定義の日本語訳,日本語訳,tags
1등급,가,명사,名詞,고유어,,,,"「1」경계에 가까운 바깥쪽 부분.
「2」어떤 중심 되는 곳에서 가까운 부분.
「3」그릇 따위의 아가리의 주변.
「4」‘주변’의 뜻을 나타내는 말.",境界に近い外側部分。ある中心となる場所に近い部分。器などの縁の周辺。「周辺」の意味を表す言葉。,縁,等級:1 語種:固有語 品詞:名詞
1등급,가게,명사,名詞,고유어,,,,"「1」작은 규모로 물건을 파는 집.
「2」길거리에 임시로 물건을 벌여 놓고 파는 곳.",小さな規模で物を売る家。道端に臨時に物を並べて売る場所。,店,等級:1 語種:固有語 品詞:名詞
1등급,가까워지다,동사,動詞,고유어,,,,"[1]어느 한 곳에서 다른 곳까지의 거리가 짧아지다.
[2]어떤 시간이나 날짜 사이의 간격이 짧아지다.
[3]서로의 사이가 점점 다정하고 친하게 되다.
[4]「1」어떤 기준점에 다다른 상태가 되다.
[4]「2」성질이나 특성이 기준이 되는 것과 점점 비슷하게 되다.
[5]소리가 점점 크고 분명하게 느껴지다.",ある場所から別の場所までの距離が短くなる。ある時間や日付の間隔が短くなる。互いの間がだんだん親しくなる。「ある基準点に達した状態になる。性質や特性が基準となるものとだんだん似てくる。音がだんだん大きくはっきり感じられる。,近づく,等級:1 語種:固有語 品詞:動詞
1등급,가까이,부사,副詞・名詞,고유어,,,,"[Ⅰ]「1」한 지점에서 거리가 조금 떨어져 있는 상태로.
[Ⅰ]「2」일정한 때를 기준으로 그때에 약간 못 미치는 상태로.
[Ⅰ]「3」사람과 사람의 사이가 친밀한 상태로.
[Ⅱ]가까운 곳.",ある地点から距離が少し離れている状態。一定の時を基準にして、それに少し満たない状態。人と人との間が親密な状態。近くの場所。,近く,等級:1 語種:固有語 品詞:副詞・名詞 risk:multi_pos
1등급,가깝다,형용사,形容詞,고유어,,,,"[1]어느 한 곳에서 다른 곳까지의 거리가 짧다.
[2]서로의 사이가 다정하고 친하다.
[3]「1」어떤 기준점에 다다른 상태이다.
[3]「2」성질이나 특성이 기준이 되는 것과 비슷하다.
[4]「1」어떤 시간이나 날짜까지의 간격이 짧다.
[4]「2」촌수가 멀지 않다.",ある場所から別の場所までの距離が短い。互いの間が親しい。「ある基準点に達した状態である。性質や特性が基準となるものと似ている。「ある時間や日付までの間隔が短い。続柄が遠くない。,近い,等級:1 語種:固有語 品詞:形容詞
1등급,가꾸다,동사,動詞,고유어,,,,"[1]「1」식물이나 그것을 기르는 장소 따위를 손질하고 보살피다.
[1]「2」몸을 잘 매만지거나 꾸미다.
[1]「3」좋은 상태로 만들려고 보살피고 꾸려 가다.
[2]쓸모없는 땅을 쓸모 있는 땅으로 바꾸다.",植物やそれを育てる場所などを手入れして世話をする。体をよく整えたり飾ったりする。良い状態にするために世話をして進めていく。役に立たない土地を役に立つ土地に変える。,手入れする,等級:1 語種:固有語 品詞:動詞
1등급,가끔,부사,副詞,고유어,,,,시간적ㆍ공간적 간격이 얼마쯤씩 있게.,時間的・空間的間隔がいくらかずつある。,時々,等級:1 語種:固有語 品詞:副詞
1등급,가난,명사,名詞,고유어,,,,살림살이가 넉넉하지 못함. 또는 그런 상태.,暮らし向きが豊かでなく、またはそのような状態。,貧困,等級:1 語種:固有語 品詞:名詞
1등급,가난하다,형용사,形容詞,고유어,,,,살림살이가 넉넉하지 못하여 몸과 마음이 괴로운 상태에 있다.,暮らし向きが豊かでなく、身も心も苦しい状態にある。,貧しい,等級:1 語種:固有語 品詞:形容詞
1등급,가늘다,형용사,形容詞,고유어,,,,"「1」물체의 지름이 보통의 경우에 미치지 못하고 짧다.
「2」소리의 울림이 보통에 미치지 못하고 약하다.
「3」물체의 굵기가 보통에 미치지 못하고 잘다.
「4」빛이나 연기 따위가 희미하고 약하다.
「5」표정이 얼굴에 나타날 듯 말 듯 약하다.
「6」사이가 좁고 촘촘하다.
「7」움직이는 정도가 아주 약하다.",物体の直径が普通の場合に及ばず細い。音の響きが普通に及ばず弱い。物体の太さが普通に及ばず細い。光や煙などがかすかで弱い。表情が顔に現れるか現れないかくらい弱い。間が狭く細かい。動きの程度が非常に弱い。,細い,等級:1 語種:固有語 品詞:形容詞
